"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"str_iz_civhatchbackdoors_driver0","VW Golf II Front Left Door","VW Golf II Front Left Door","Levé přední dveře VW Golf II","VW Golf II Tür vorne links","Передняя левая дверь VW Golf II","Przednie lewe drzwi od Guntera 2","VW Golf II Front Left Door","Portiera anteriore sinistra VW Golf II","Puerta izquierda delantera de VW Golf II","Portière AVG de Gunter 2","VW Golf II 左前門","VW Golf II 左前のドア","VW Golf II Front Left Door","VW Golf II 左前车门",
"str_iz_civhatchbackdoors_hood1","Hood of the VW Golf II hatchback. Helps protect the engine and other sensitive car parts.","Hood of the VW Golf II hatchback. Helps protect the engine and other sensitive car parts.","Kapota hatchbacku Gunter 2. Chrání motor a další citlivé součásti auta.","Motorhaube der VW Golf II-Kombilimousine. Schützt den Motor und andere empfindliche Wagenteile.","Капот хэтчбека VW Golf II. Помогает защитить двигатель и другие важные детали автомобиля.","Maska od hatchbacka VW Golf II. Chroni silnik i inne delikatne części samochodu.","Hood of the VW Golf II hatchback. Helps protect the engine and other sensitive car parts.","Il cofano della due volumi VW Golf II. Aiuta a proteggere il motore e altri componenti delicati dell’automobile.","Capó de VW Golf II. Ayuda a proteger el motor y otras partes importantes del coche.","Un capot pour la berline à hayon Gunter 2. Protège le moteur et les pièces essentielles du véhicule.","VW Golf II 掀背車的引擎蓋。保護引擎與其他脆弱零件。","VW Golf II ハッチバックのボンネット。エンジンやその他の繊細な車のパーツを保護してくれる。","Hood of the VW Golf II hatchback. Helps protect the engine and other sensitive car parts.","VW Golf II 掀背车的引擎盖。可帮助保护发动机和其他易损汽车部件。",
"str_iz_civhatchbackdoors_hood0","VW Golf II Hood","VW Golf II Hood","Kapota Gunter 2","VW Golf II Motorhaube","Капот VW Golf II","Maska od Guntera 2","VW Golf II Hood","Cofano VW Golf II","Capó de VW Golf II","Capot de Gunter 2","VW Golf II 引擎蓋","VW Golf II ボンネット","VW Golf II Hood","VW Golf II 引擎盖",
"str_iz_civhatchbackdoors_rearleft1","Rear left door of the VW Golf II hatchback. Keeps passenger in back seat safe inside vehicle.","Rear left door of the VW Golf II hatchback. Keeps passenger in back seat safe inside vehicle.","Levé zadní dveře hatchbacku Gunter 2. Zajišťují bezpečnost řidiče uvnitř auta.","Linke Hintertür der VW Golf II-Kombilimousine. Verhindert, dass der Fahrgast aus dem Wagen fällt.","Задняя левая дверь хэтчбека VW Golf II. Обеспечивает безопасность пассажиров на заднем сиденье.","Tylne lewe drzwi od hatchbacka VW Golf II. Dzięki nim pasażer z tyłu będzie bezpieczny.","Rear left door of the VW Golf II hatchback. Keeps passenger in back seat safe inside vehicle.","La portiera posteriore sinistra della due volumi VW Golf II. Mantiene il passeggero seduto sul sedile posteriore al sicuro all’interno del veicolo.","Puerta izquierda trasera de VW Golf II. Mantiene a los pasajeros del asiento de atrás a salvo dentro del vehículo.","Une portière arrière gauche pour la berline à hayon Gunter 2. Permet de protéger le passager arrière à gauche.","VW Golf II 掀背車的左後門。使後座乘客安全的坐在車內。","VW Golf II ハッチバックの左後ろのドア。後部席の人も安全に乗れる。","Rear left door of the VW Golf II hatchback. Keeps passenger in back seat safe inside vehicle.","VW Golf II 掀背车的左后车门。可确保车内后座位上乘客的安全。",
"str_iz_civhatchbackdoors_rearleft0","VW Golf II Rear Left Door","VW Golf II Rear Left Door","Levé zadní dveře VW Golf II","VW Golf II Tür hinten links","Задняя левая дверь VW Golf II","Tylne lewe drzwi od Guntera 2","VW Golf II Rear Left Door","Portiera posteriore sinistra VW Golf II","Puerta izquierda trasera de VW Golf II","Portière ARG de Gunter 2","VW Golf II 左後門","VW Golf II 左後ろのドア","VW Golf II Rear Left Door","VW Golf II 左后车门",
"str_iz_civhatchbackdoors_rearright1","Rear right door of the VW Golf II hatchback. Keeps passenger in back seat safe inside vehicle.","Rear right door of the VW Golf II hatchback. Keeps passenger in back seat safe inside vehicle.","Pravé zadní dveře hatchbacku Gunter 2. Zajišťují bezpečnost cestujícího uvnitř auta.","Rechte Hintertür der VW Golf II-Kombilimousine. Verhindert, dass der Fahrgast aus dem Wagen fällt.","Задняя правая дверь хэтчбека VW Golf II. Обеспечивает безопасность пассажиров на заднем сиденье.","Tylne prawe drzwi od hatchbacka VW Golf II. Dzięki nim pasażer z tyłu będzie bezpieczny.","Rear right door of the VW Golf II hatchback. Keeps passenger in back seat safe inside vehicle.","La portiera posteriore destra della due volumi VW Golf II. Mantiene il passeggero seduto sul sedile posteriore al sicuro all’interno del veicolo.","Puerta derecha trasera del VW Golf II. Mantiene a los pasajeros del asiento de atrás a salvo dentro del vehículo.","Une portière arrière droite pour la berline à hayon Gunter 2. Permet de protéger le passager arrière à droite.","VW Golf II 掀背車的右後門。使後座乘客安全的坐在車內。","VW Golf II ハッチバックの右後ろのドア。後部席の人も安全に乗れる。","Rear right door of the VW Golf II hatchback. Keeps passenger in back seat safe inside vehicle.","VW Golf II 掀背车的右后车门。可确保车内后座位上乘客的安全。",
"str_iz_civhatchbackdoors_rearright0","VW Golf II Rear Right Door","VW Golf II Rear Right Door","Pravé zadní dveře VW Golf II","VW Golf II Tür hinten rechts","Задняя правая дверь VW Golf II","Tylne prawe drzwi od Guntera 2","VW Golf II Rear Right Door","Portiera posteriore destra VW Golf II","Puerta derecha trasera de VW Golf II","Portière ARD de Gunter 2","VW Golf II 右後門","VW Golf II 右後ろのドア","VW Golf II Rear Right Door","VW Golf II 右后车门",
"str_iz_civhatchbackdoors_trunk1","Trunk door of the VW Golf II hatchback. Used for keeping trunk contents closed.","Trunk door of the VW Golf II hatchback. Used for keeping trunk contents closed.","Dveře od kufru hatchbacku Gunter 2. Slouží k uzavření nákladu v kufru.","Hecktür der VW Golf II-Kombilimousine. Schützt den Inhalt des Kofferraums.","Дверь багажника хэтчбека VW Golf II. Не дает содержимому багажника выпасть.","Klapa bagażnika od hatchbacka VW Golf II. Dzięki niej zawartość bagażnika pozostaje w bagażniku.","Trunk door of the VW Golf II hatchback. Used for keeping trunk contents closed.","Il portellone posteriore della due volumi VW Golf II. Utilizzato per mantenere al sicuro il contenuto del portabagagli.","Puerta del maletero del VW Golf II. Evita que las cosas se caigan del maletero.","Un hayon pour Gunter 2. Permet de fermer le coffre et d'en protéger le contenu.","VW Golf II 掀背車的車廂門。鎖住車廂內的物品。","VW Golf II ハッチバックのトランクのドア。トランクに入れた物が飛び出さないように使用される。","Trunk door of the VW Golf II hatchback. Used for keeping trunk contents closed.","VW Golf II 掀背车的后备箱门。用于关住后备箱中的东西。",
"str_iz_civhatchbackdoors_trunk0","VW Golf II Trunk Door","VW Golf II Trunk Door","Dveře od kufru Gunter 2","VW Golf II-Hecktür","Дверь багажника VW Golf II","Klapa bagażnika od Guntera 2","VW Golf II Trunk Door","Portellone posteriore VW Golf II","Puerta del maletero de VW Golf II","Coffre de Gunter 2","VW Golf II 車廂門","VW Golf II トランクドア","VW Golf II Trunk Door","VW Golf II 后备箱门",


"str_iz_sedan_020","Škoda 120","Škoda 120","Škoda 120","Škoda 120","Škoda 120","Škoda 120","Škoda 120","Škoda 120","Škoda 120","Škoda 120","Škoda 120","Škoda 120 セダン","Škoda 120","Škoda 120",
"str_iz_sedan_02_door_2_20","Škoda 120 Rear Right Door","Škoda 120 Rear Right Door","Pravé zadní dveře Škoda 120","Škoda 120 Tür hinten rechts","Задняя правая дверь Škoda 120","Tylne prawe drzwi od Škoda 120","Škoda 120 Rear Right Door","Portiera posteriore destra Škoda 120","Puerta derecha trasera de Škoda 120","Portière ARD de Škoda 120","Škoda 120 右後門","Škoda 120 セダン 右後ろのドア","Škoda 120 Rear Right Door","Škoda 120 右后车门",
"str_iz_sedan_02_door_2_21","Rear right door of the Škoda 120. Keeps passenger in back seat safe inside vehicle.","Rear right door of the Škoda 120. Keeps passenger in back seat safe inside vehicle.","Pravé zadní dveře vozidla Škoda 120. Zajišťují bezpečnost cestujícího uvnitř auta.","Rechte Hintertür des Škoda 120. Verhindert, dass der Fahrgast aus dem Wagen fällt.","Задняя правая дверь Škoda 120. Обеспечивает безопасность пассажиров на заднем сиденье.","Tylne prawe drzwi od Škoda 120. Dzięki nim pasażer z tyłu będzie bezpieczny.","Rear right door of the Škoda 120. Keeps passenger in back seat safe inside vehicle.","La portiera posteriore destra della Škoda 120. Mantiene il passeggero seduto sul sedile posteriore al sicuro all’interno del veicolo.","Puerta derecha trasera del Škoda 120. Mantiene a los pasajeros del asiento de atrás a salvo dentro del vehículo.","Une portière arrière droite pour la Škoda 120. Protège le passager arrière droit.","Škoda 120 的右後門。使後座乘客安全的坐在車內。","Škoda 120 セダンの右後ろのドア。後部席の人も安全に乗れる。","Rear right door of the Škoda 120. Keeps passenger in back seat safe inside vehicle.","Škoda 120 的右后车门。可确保车内后座位上乘客的安全。",
"str_iz_sedan_02_wheel0","Škoda 120 Wheel","Škoda 120 Wheel","Kolo Škoda 120","Škoda 120-Reifen","Колесо Škoda 120","Koło od Škoda 120","Škoda 120 Wheel","Ruota Škoda 120","Rueda de Škoda 120","Roue de Škoda 120","Škoda 120 車輪","Škoda 120 セダン 車輪","Škoda 120 Wheel","Škoda 120 车轮",
"str_iz_sedan_02_wheel1","Wheel of the Škoda 120. The tire pattern isn't really designed for off-road performance.","Wheel of the Škoda 120. The tire pattern isn't really designed for off-road performance.","Kolo vozidla Škoda 120. Vzorek pneumatiky se příliš nehodí do terénu.","Reifen für den Škoda 120. Das Profil ist nicht auf Offroad-Performance ausgelegt.","Колесо Škoda 120. Рисунок протектора не предназначен для езды по бездорожью.","Koło od Škoda 120. Bieżnik opony nie jest przystosowany do jazdy terenowej.","Wheel of the Škoda 120. The tire pattern isn't really designed for off-road performance.","Una ruota della Škoda 120. Pneumatico con battistrada non proprio concepito per prestazioni fuoristrada.","Rueda de Škoda 120. El patrón de las ruedas no está diseñado para ser todoterreno.","Roue de Škoda 120. Le dessin du pneu n'est pas vraiment conçu pour une utilisation tout-terrain.","Škoda 120 的車輪。輪胎圖案設計並不適合越野行駛。","Škoda 120 セダンの車輪。オフロードでの仕様には適していない。","Wheel of the Škoda 120. The tire pattern isn't really designed for off-road performance.","Škoda 120 的车轮。轮胎花纹设计并不适合越野行驶。",
"str_iz_sedan_02_door_1_10","Škoda 120 Front Left Door","Škoda 120 Front Left Door","Levé přední dveře Škoda 120","Škoda 120 Tür vorne links","Передняя левая дверь Škoda 120","Przednie lewe drzwi od Škoda 120","Škoda 120 Front Left Door","Portiera anteriore sinistra Škoda 120","Puerta izquierda delantera de Škoda 120","Portière AVG de Škoda 120","Škoda 120 左前門","Škoda 120 セダン 左前のドア","Škoda 120 Front Left Door","Škoda 120 左前车门",
"str_iz_sedan_02_door_1_11","Front left door of the Škoda 120 that keeps the driver safe inside the vehicle.","Front left door of the Škoda 120 that keeps the driver safe inside the vehicle.","Levé přední dveře vozidla Škoda 120. Chrání řidiče uvnitř vozu.","Linke Vordertür des Škoda 120. Verhindert, dass der Fahrer aus dem Wagen fällt.","Передняя левая дверь Škoda 120. Обеспечивает безопасность водителя внутри автомобиля.","Przednie lewe drzwi od Škoda 120. Dzięki nim kierowca będzie bezpieczny.","Front left door of the Škoda 120 that keeps the driver safe inside the vehicle.","La portiera anteriore sinistra della Škoda 120. Mantiene il pilota al sicuro all’interno del veicolo.","Puerta izquierda delantera del Škoda 120. Mantiene al conductor a salvo dentro del vehículo.","Une portière avant gauche pour la Škoda 120. Protège le conducteur.","Škoda 120 的左前門，保持駕駛員在車內的安全。","Škoda 120 セダンの左前のドア。運転席の人も安全に乗れる。","Front left door of the Škoda 120 that keeps the driver safe inside the vehicle.","Škoda 120 左前车门，可确保车内驾驶员的安全。",
"str_iz_sedan_02_door_2_10","Škoda 120 Front Right Door","Škoda 120 Front Right Door","Pravé přední dveře Škoda 120","Škoda 120 Tür vorne rechts","Передняя правая дверь Škoda 120","Przednie prawe drzwi od Škoda 120","Škoda 120 Front Right Door","Portiera anteriore destra Škoda 120","Puerta derecha delantera de Škoda 120","Portière AVD de Škoda 120","Škoda 120 右前門","Škoda 120 セダン 右前のドア","Škoda 120 Front Right Door","Škoda 120 右前车门",
"str_iz_sedan_02_door_2_11","Front right door of the Škoda 120 that keeps the co-driver safe inside the vehicle.","Front right door of the Škoda 120 that keeps the co-driver safe inside the vehicle.","Pravé přední dveře vozidla Škoda 120. Chrání spolujezdce vepředu.","Rechte Vordertür des Škoda 120. Verhindert, dass der Beifahrer aus dem Wagen fällt.","Передняя правая дверь Škoda 120. Обеспечивает безопасность сменного водителя внутри автомобиля.","Przednie prawe drzwi od Škoda 120. Dzięki nim drugi kierowca będzie bezpieczny.","Front right door of the Škoda 120 that keeps the co-driver safe inside the vehicle.","La portiera anteriore destra della Škoda 120. Mantiene il copilota al sicuro all’interno del veicolo.","Puerta derecha delantera del Škoda 120. Mantiene al copiloto a salvo dentro del vehículo.","Une portière avant droite pour la Škoda 120. Protège le passager avant.","Škoda 120 的右前門，保持副駕駛在車內的安全。","Škoda 120 セダンの右前のドア。助手席の人も安全に乗れる。","Front right door of the Škoda 120 that keeps the co-driver safe inside the vehicle.","Škoda 120 右前车门，可确保车内驾驶员的安全。",
