"Language",										"original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"str_civhatchbackdoors_rearleft1",				"Rear left door of the Gunter 2 hatchback. Keeps passenger in back seat safe inside vehicle.","Rear left door of the Gunter 2 hatchback. Keeps passenger in back seat safe inside vehicle.","Levé zadní dveře hatchbacku Gunter 2. Zajišťují bezpečnost řidiče uvnitř auta.","Linke Hintertür der Gunter 2-Kombilimousine. Verhindert, dass der Fahrgast aus dem Wagen fällt.","Задняя левая дверь хэтчбека Gunter 2. Обеспечивает безопасность пассажиров на заднем сиденье.","Tylne lewe drzwi od hatchbacka Gunter 2. Dzięki nim pasażer z tyłu będzie bezpieczny.","Rear left door of the Gunter 2 hatchback. Keeps passenger in back seat safe inside vehicle.","La portiera posteriore sinistra della due volumi Gunter 2. Mantiene il passeggero seduto sul sedile posteriore al sicuro all’interno del veicolo.","Puerta izquierda trasera de Gunter 2. Mantiene a los pasajeros del asiento de atrás a salvo dentro del vehículo.","Une portière arrière gauche pour la berline à hayon Gunter 2. Permet de protéger le passager arrière à gauche.","Gunter 2 掀背車的左後門。使後座乘客安全的坐在車內。","Gunter 2 ハッチバックの左後ろのドア。後部席の人も安全に乗れる。","Rear left door of the Gunter 2 hatchback. Keeps passenger in back seat safe inside vehicle.","Gunter 2 掀背车的左后车门。可确保车内后座位上乘客的安全。",
"str_civhatchbackdoors_rearleft0",				"Gunter 2 Rear Left Door","Gunter 2 Rear Left Door","Levé zadní dveře Gunter 2","Gunter 2 Tür hinten links","Задняя левая дверь Gunter 2","Tylne lewe drzwi od Guntera 2","Gunter 2 Rear Left Door","Portiera posteriore sinistra Gunter 2","Puerta izquierda trasera de Gunter 2","Portière ARG de Gunter 2","Gunter 2 左後門","Gunter 2 左後ろのドア","Gunter 2 Rear Left Door","Gunter 2 左后车门",
"str_civhatchbackdoors_rearright1",				"Rear right door of the Gunter 2 hatchback. Keeps passenger in back seat safe inside vehicle.","Rear right door of the Gunter 2 hatchback. Keeps passenger in back seat safe inside vehicle.","Pravé zadní dveře hatchbacku Gunter 2. Zajišťují bezpečnost cestujícího uvnitř auta.","Rechte Hintertür der Gunter 2-Kombilimousine. Verhindert, dass der Fahrgast aus dem Wagen fällt.","Задняя правая дверь хэтчбека Gunter 2. Обеспечивает безопасность пассажиров на заднем сиденье.","Tylne prawe drzwi od hatchbacka Gunter 2. Dzięki nim pasażer z tyłu będzie bezpieczny.","Rear right door of the Gunter 2 hatchback. Keeps passenger in back seat safe inside vehicle.","La portiera posteriore destra della due volumi Gunter 2. Mantiene il passeggero seduto sul sedile posteriore al sicuro all’interno del veicolo.","Puerta derecha trasera del Gunter 2. Mantiene a los pasajeros del asiento de atrás a salvo dentro del vehículo.","Une portière arrière droite pour la berline à hayon Gunter 2. Permet de protéger le passager arrière à droite.","Gunter 2 掀背車的右後門。使後座乘客安全的坐在車內。","Gunter 2 ハッチバックの右後ろのドア。後部席の人も安全に乗れる。","Rear right door of the Gunter 2 hatchback. Keeps passenger in back seat safe inside vehicle.","Gunter 2 掀背车的右后车门。可确保车内后座位上乘客的安全。",
"str_civhatchbackdoors_rearright0",				"Gunter 2 Rear Right Door","Gunter 2 Rear Right Door","Pravé zadní dveře Gunter 2","Gunter 2 Tür hinten rechts","Задняя правая дверь Gunter 2","Tylne prawe drzwi od Guntera 2","Gunter 2 Rear Right Door","Portiera posteriore destra Gunter 2","Puerta derecha trasera de Gunter 2","Portière ARD de Gunter 2","Gunter 2 右後門","Gunter 2 右後ろのドア","Gunter 2 Rear Right Door","Gunter 2 右后车门",
"str_civhatchbackdoors_trunk1",					"Trunk door of the Gunter 2 hatchback. Used for keeping trunk contents closed.","Trunk door of the Gunter 2 hatchback. Used for keeping trunk contents closed.","Dveře od kufru hatchbacku Gunter 2. Slouží k uzavření nákladu v kufru.","Hecktür der Gunter 2-Kombilimousine. Schützt den Inhalt des Kofferraums.","Дверь багажника хэтчбека Gunter 2. Не дает содержимому багажника выпасть.","Klapa bagażnika od hatchbacka Gunter 2. Dzięki niej zawartość bagażnika pozostaje w bagażniku.","Trunk door of the Gunter 2 hatchback. Used for keeping trunk contents closed.","Il portellone posteriore della due volumi Gunter 2. Utilizzato per mantenere al sicuro il contenuto del portabagagli.","Puerta del maletero del Gunter 2. Evita que las cosas se caigan del maletero.","Un hayon pour Gunter 2. Permet de fermer le coffre et d'en protéger le contenu.","Gunter 2 掀背車的車廂門。鎖住車廂內的物品。","Gunter 2 ハッチバックのトランクのドア。トランクに入れた物が飛び出さないように使用される。","Trunk door of the Gunter 2 hatchback. Used for keeping trunk contents closed.","Gunter 2 掀背车的后备箱门。用于关住后备箱中的东西。",
"str_civhatchbackdoors_trunk0",					"Gunter 2 Trunk Door","Gunter 2 Trunk Door","Dveře od kufru Gunter 2","Gunter 2-Hecktür","Дверь багажника Gunter 2","Klapa bagażnika od Guntera 2","Gunter 2 Trunk Door","Portellone posteriore Gunter 2","Puerta del maletero de Gunter 2","Coffre de Gunter 2","Gunter 2 車廂門","Gunter 2 トランクドア","Gunter 2 Trunk Door","Gunter 2 后备箱门",


"str_sedan_020",								"Sarka 120","Sarka 120","Sarka 120","Sarka 120","Sarka 120","Sarka 120","Sarka 120","Sarka 120","Sarka 120","Sarka 120","Sarka 120","Sarka 120 セダン","Sarka 120","Sarka 120",

"str_sedan_02_door_2_20",						"Sarka 120 Rear Right Door","Sarka 120 Rear Right Door","Pravé zadní dveře Sarka 120","Sarka 120 Tür hinten rechts","Задняя правая дверь Sarka 120","Tylne prawe drzwi od Sarki 120","Sarka 120 Rear Right Door","Portiera posteriore destra Sarka 120","Puerta derecha trasera de Sarka 120","Portière ARD de Sarka 120","Sarka 120 右後門","Sarka 120 セダン 右後ろのドア","Sarka 120 Rear Right Door","Sarka 120 右后车门",
"str_sedan_02_door_2_21",						"Rear right door of the Sarka 120. Keeps passenger in back seat safe inside vehicle.","Rear right door of the Sarka 120. Keeps passenger in back seat safe inside vehicle.","Pravé zadní dveře vozidla Sarka 120. Zajišťují bezpečnost cestujícího uvnitř auta.","Rechte Hintertür des Sarka 120. Verhindert, dass der Fahrgast aus dem Wagen fällt.","Задняя правая дверь Sarka 120. Обеспечивает безопасность пассажиров на заднем сиденье.","Tylne prawe drzwi od Sarki 120. Dzięki nim pasażer z tyłu będzie bezpieczny.","Rear right door of the Sarka 120. Keeps passenger in back seat safe inside vehicle.","La portiera posteriore destra della Sarka 120. Mantiene il passeggero seduto sul sedile posteriore al sicuro all’interno del veicolo.","Puerta derecha trasera del Sarka 120. Mantiene a los pasajeros del asiento de atrás a salvo dentro del vehículo.","Une portière arrière droite pour la Sarka 120. Protège le passager arrière droit.","Sarka 120 的右後門。使後座乘客安全的坐在車內。","Sarka 120 セダンの右後ろのドア。後部席の人も安全に乗れる。","Rear right door of the Sarka 120. Keeps passenger in back seat safe inside vehicle.","Sarka 120 的右后车门。可确保车内后座位上乘客的安全。",
"str_sedan_02_wheel0",							"Sarka 120 Wheel","Sarka 120 Wheel","Kolo Sarka 120","Sarka 120-Reifen","Колесо Sarka 120","Koło od Sarki 120","Sarka 120 Wheel","Ruota Sarka 120","Rueda de Sarka 120","Roue de Sarka 120","Sarka 120 車輪","Sarka 120 セダン 車輪","Sarka 120 Wheel","Sarka 120 车轮",
"str_sedan_02_wheel1",							"Wheel of the Sarka 120. The tire pattern isn't really designed for off-road performance.","Wheel of the Sarka 120. The tire pattern isn't really designed for off-road performance.","Kolo vozidla Sarka 120. Vzorek pneumatiky se příliš nehodí do terénu.","Reifen für den Sarka 120. Das Profil ist nicht auf Offroad-Performance ausgelegt.","Колесо Sarka 120. Рисунок протектора не предназначен для езды по бездорожью.","Koło od Sarki 120. Bieżnik opony nie jest przystosowany do jazdy terenowej.","Wheel of the Sarka 120. The tire pattern isn't really designed for off-road performance.","Una ruota della Sarka 120. Pneumatico con battistrada non proprio concepito per prestazioni fuoristrada.","Rueda de Sarka 120. El patrón de las ruedas no está diseñado para ser todoterreno.","Roue de Sarka 120. Le dessin du pneu n'est pas vraiment conçu pour une utilisation tout-terrain.","Sarka 120 的車輪。輪胎圖案設計並不適合越野行駛。","Sarka 120 セダンの車輪。オフロードでの仕様には適していない。","Wheel of the Sarka 120. The tire pattern isn't really designed for off-road performance.","Sarka 120 的车轮。轮胎花纹设计并不适合越野行驶。",
"str_sedan_02_door_1_10",						"Sarka 120 Front Left Door","Sarka 120 Front Left Door","Levé přední dveře Sarka 120","Sarka 120 Tür vorne links","Передняя левая дверь Sarka 120","Przednie lewe drzwi od Sarki 120","Sarka 120 Front Left Door","Portiera anteriore sinistra Sarka 120","Puerta izquierda delantera de Sarka 120","Portière AVG de Sarka 120","Sarka 120 左前門","Sarka 120 セダン 左前のドア","Sarka 120 Front Left Door","Sarka 120 左前车门",
"str_sedan_02_door_1_11",						"Front left door of the Sarka 120 that keeps the driver safe inside the vehicle.","Front left door of the Sarka 120 that keeps the driver safe inside the vehicle.","Levé přední dveře vozidla Sarka 120. Chrání řidiče uvnitř vozu.","Linke Vordertür des Sarka 120. Verhindert, dass der Fahrer aus dem Wagen fällt.","Передняя левая дверь Sarka 120. Обеспечивает безопасность водителя внутри автомобиля.","Przednie lewe drzwi od Sarki 120. Dzięki nim kierowca będzie bezpieczny.","Front left door of the Sarka 120 that keeps the driver safe inside the vehicle.","La portiera anteriore sinistra della Sarka 120. Mantiene il pilota al sicuro all’interno del veicolo.","Puerta izquierda delantera del Sarka 120. Mantiene al conductor a salvo dentro del vehículo.","Une portière avant gauche pour la Sarka 120. Protège le conducteur.","Sarka 120 的左前門，保持駕駛員在車內的安全。","Sarka 120 セダンの左前のドア。運転席の人も安全に乗れる。","Front left door of the Sarka 120 that keeps the driver safe inside the vehicle.","Sarka 120 左前车门，可确保车内驾驶员的安全。",
"str_sedan_02_door_2_10",						"Sarka 120 Front Right Door","Sarka 120 Front Right Door","Pravé přední dveře Sarka 120","Sarka 120 Tür vorne rechts","Передняя правая дверь Sarka 120","Przednie prawe drzwi od Sarki 120","Sarka 120 Front Right Door","Portiera anteriore destra Sarka 120","Puerta derecha delantera de Sarka 120","Portière AVD de Sarka 120","Sarka 120 右前門","Sarka 120 セダン 右前のドア","Sarka 120 Front Right Door","Sarka 120 右前车门",
"str_sedan_02_door_2_11",						"Front right door of the Sarka 120 that keeps the co-driver safe inside the vehicle.","Front right door of the Sarka 120 that keeps the co-driver safe inside the vehicle.","Pravé přední dveře vozidla Sarka 120. Chrání spolujezdce vepředu.","Rechte Vordertür des Sarka 120. Verhindert, dass der Beifahrer aus dem Wagen fällt.","Передняя правая дверь Sarka 120. Обеспечивает безопасность сменного водителя внутри автомобиля.","Przednie prawe drzwi od Sarki 120. Dzięki nim drugi kierowca będzie bezpieczny.","Front right door of the Sarka 120 that keeps the co-driver safe inside the vehicle.","La portiera anteriore destra della Sarka 120. Mantiene il copilota al sicuro all’interno del veicolo.","Puerta derecha delantera del Sarka 120. Mantiene al copiloto a salvo dentro del vehículo.","Une portière avant droite pour la Sarka 120. Protège le passager avant.","Sarka 120 的右前門，保持副駕駛在車內的安全。","Sarka 120 セダンの右前のドア。助手席の人も安全に乗れる。","Front right door of the Sarka 120 that keeps the co-driver safe inside the vehicle.","Sarka 120 右前车门，可确保车内驾驶员的安全。",
"str_sedan_02_door_1_20",						"Sarka 120 Rear Left Door","Sarka 120 Rear Left Door","Levé zadní dveře Sarka 120","Sarka 120 Tür hinten links","Задняя левая дверь Sarka 120","Tylne lewe drzwi od Sarki 120","Sarka 120 Rear Left Door","Portiera posteriore sinistra Sarka 120","Puerta izquierda trasera de Sarka 120","Portière ARG de Sarka 120","Sarka 120 左後門","Sarka 120 セダン 左後ろのドア","Sarka 120 Rear Left Door","Sarka 120 左后车门",
"str_sedan_02_door_1_21",						"Rear left door of the Sarka 120 that keeps the passenger in back seat safe inside the vehicle.","Rear left door of the Sarka 120 that keeps the passenger in back seat safe inside the vehicle.","Levé zadní dveře vozidla Sarka 120. Chrání spolujezdce na zadním sedadle uvnitř vozu.","Linke Hintertür des Sarka 120. Verhindert, dass Passagiere auf der Rückbank aus dem Wagen fallen.","Задняя левая дверь Sarka 120. Обеспечивает безопасность пассажиров на заднем сиденье.","Tylne lewe drzwi od Sarki 120. Dzięki nim pasażer z tyłu będzie bezpieczny.","Rear left door of the Sarka 120 that keeps the passenger in back seat safe inside the vehicle.","La portiera posteriore sinistra della Sarka 120. Mantiene il passeggero seduto sul sedile posteriore al sicuro all’interno del veicolo.","Puerta izquierda trasera del Sarka 120. Mantiene a los pasajeros del asiento de atrás a salvo dentro del vehículo.","Une portière arrière gauche pour la Sarka 120. Protège le passager arrière gauche.","Sarka 120 的左後門，使後座乘客安全的坐在車內。","Sarka 120 セダン セダンの左後ろのドア。後部席の人も安全に乗れる。","Rear left door of the Sarka 120 that keeps the passenger in back seat safe inside the vehicle.","Sarka 120 左后车门，可确保车内后座乘客的安全。",
